sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
c6708166e0a6bf3484200fd6dd1569d89e81c36ffd76ff2ab5820b06fd2d5b54,17888843,0,31.0,0.0,31.0,31.0,25,34,11,25,9.2,0,25,59550,4132,4.0,Android,Android.Riskware.Installer,MalwareBazaar
c6bf217cef89d4f7adadcca70288dbdc2b6f892f12ec95830e3468fa0871fe15,186408,1,47.0,0.0,47.0,47.0,55,80,27,55,18.3091,0,55,329,22,50.0,Windows,Floxif,MalwareBazaar
0d0f6cc5d500959a1566f539dc1ff669f29a2a50fd61c5fce2e5113b5064bbd7,166368,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,232,1,0.0,Unknown,Unknown.Generic,Local
c730e6287aa786e04d22daa4e6c77b504cdf80dc4f09877a15bc79bac84403f6,407552,1,29.0,0.0,29.0,29.0,64,70,8,64,28.8125,0,64,1113,30,0.0,Windows,Emotet,MalwareBazaar
c75e18c53ce8a1613cccc63209ca34d4a0ba1c6a1b664bede595be3cd7bb30c9,2355840,0,26.0,0.0,26.0,26.0,140,161,23,140,60.4429,0,140,5753,277,16.0,Windows,Win.Generic,MalwareBazaar
bf664aecde67824142fd5cc34bd7230afbf99a0d4018df13e96b9560be073e6b,16756736,1,88.0,0.0,88.0,88.0,159,213,56,159,57.1069,0,159,58558,2450,46.0,Windows,ACRStealer,MalwareBazaar
c23947d93c6add656e128bae1bb828eacbc622c27b080202a98c8ce1664293e9,6892968,1,66.0,0.0,66.0,66.0,180,241,63,180,65.0111,0,180,17614,358,42.0,Windows,Win.Packed.Generic,MalwareBazaar
c50e81a377e8fac1e4e3dcce634868443c60c83dd20a98dc320317603023b17a,786944,1,22.0,0.0,22.0,22.0,9,8,1,8,4.25,0,8,2108,2,22.0,Windows,Win.Packed.Generic,MalwareBazaar
c25c1698395a2edd315158035660df240ab7e5cd43288fa87f207e07eec82d56,3734528,1,21.0,0.0,21.0,21.0,132,148,18,132,58.1818,0,132,4705,3,12.0,Windows,Emotet,MalwareBazaar
c64ca381d3329fbaea7e63fa5dd2a07c60ca3e267c882121e34837074fd81ac9,314527,0,18.0,0.0,18.0,18.0,103,137,36,103,37.3204,0,103,504,13,16.0,Windows,Emotet,MalwareBazaar
c0a5e2237ef1901c7a3ee2c15290c8db625a1cb9659e99a86ee474460533aa32,407552,1,29.0,0.0,29.0,29.0,64,70,8,64,28.8125,0,64,1085,31,0.0,Windows,Emotet,MalwareBazaar
be9154636a4d0408f08cac6914b6254f30a773863fbbd283210d2763a58e355f,22331502,0,61.5,0.0,61.5,61.5,145,176,33,145,58.8759,0,145,42798,399,4.0,Android,Joker,MalwareBazaar
bfc577ea1b9b326609d857e0c7ea4c7db5c382f86b3faeb92e9230da650b3af9,269784,0,45.0,0.0,45.0,45.0,9,19,12,9,3.0,0,9,407,1,30.0,Android,AhMyth,MalwareBazaar
bfedb58118e4047001ba71faf95380b61c1ea08f9664dbc208a83b24e4d4aff0,422168,0,38.0,0.0,38.0,38.0,92,122,32,92,33.4565,0,92,896,28,14.0,Windows,GuLoader,MalwareBazaar
c002e68f52de1b2b62013a82828245d8a956a075b87e220c3f6e1b2bfb220d19,574914,0,14.0,0.0,14.0,14.0,12,28,18,12,3.5,0,12,1129,2,30.0,Android,Arsink,MalwareBazaar
b38c9f871dc4735320464bb80219372a0ffe2b4f8750942b550576ace9b012b8,91018232,0,40.0,0.0,40.0,40.0,137,167,32,137,54.9854,0,137,148332,31,14.0,Windows,Win.Suspicious.Generic,MalwareBazaar
